Ressourcen	Quelle	Dimension	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Strom	[GöSIS], [UBA-Smix]	kt	390.862	384.02612	366.220557	354.70864	348.66	353.396614	324.130415	329.663808	331.76	315.260349	304.365696	251.32072	218.89224	239.675744	256.994601	207.29625
Fernwärme	[GöSIS], [Quadbeck-Stat]	kt	18.0	19.2	22.8	17.8	19.0	19.8	15.8	17.2	19.2	18.4	18.4	17.8	17.5562	20.2	20.2	18.5166
Öl	7% Prozent der Wärme, geschätzt	kt	28.1	27.7	31.3	27.0	28.3	28.3	24.3	26.2	28.0	27.1	26.4	26.2	26.9	27.9	24.2	22.4
Gas	[GöSIS], [Quadbeck-Stat]	kt	355.8	349.0	393.2	341.2	357.2	356.4	307.6	331.0	353.4	342.2	332.4	329.8	339.8	350.8	301.6	278.8
Verkehr	[GöSIS], [Ref-Nachh-Gö] & [UBA Verkehrsemissionen]	kt	246.2	237.4	235.2	238.5	234.2	240.3	239.6	252.0	255.1	256.7	265.2	258.9	230.9	226.4	229.9	229.9

CO2-Rest	Klimaplan2030	kt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.7	41.7	41.7	41.7
CO2-neutral 2030	Klimaplan2030	kt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	792.4	713.12	633.89	554.65
CO2-neutral 2045	Klimaplan2030	kt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.38	70.97	119.56
